Código;Ticker
RRRP3;RRRP3.SA
ALPA4;ALPA4.SA
ABEV3;ABEV3.SA
AMER3;AMER3.SA
ASAI3;ASAI3.SA
AZUL4;AZUL4.SA
B3SA3;B3SA3.SA
BIDI11;BIDI11.SA
BPAN4;BPAN4.SA
BBSE3;BBSE3.SA
BRML3;BRML3.SA
BBDC3;BBDC3.SA
BBDC4;BBDC4.SA
BRAP4;BRAP4.SA
BBAS3;BBAS3.SA
BRKM5;BRKM5.SA
BRFS3;BRFS3.SA
BPAC11;BPAC11.SA
CRFB3;CRFB3.SA
CCRO3;CCRO3.SA
CMIG4;CMIG4.SA
CIEL3;CIEL3.SA
COGN3;COGN3.SA
CPLE6;CPLE6.SA
CSAN3;CSAN3.SA
CPFE3;CPFE3.SA
CMIN3;CMIN3.SA
CVCB3;CVCB3.SA
CYRE3;CYRE3.SA
DXCO3;DXCO3.SA
ECOR3;ECOR3.SA
ELET3;ELET3.SA
ELET6;ELET6.SA
EMBR3;EMBR3.SA
ENBR3;ENBR3.SA
ENGI11;ENGI11.SA
ENEV3;ENEV3.SA
EGIE3;EGIE3.SA
EQTL3;EQTL3.SA
EZTC3;EZTC3.SA
FLRY3;FLRY3.SA
GGBR4;GGBR4.SA
GOAU4;GOAU4.SA
GOLL4;GOLL4.SA
NTCO3;NTCO3.SA
SOMA3;SOMA3.SA
HAPV3;HAPV3.SA
HYPE3;HYPE3.SA
IGTI11;IGTI11.SA
IRBR3;IRBR3.SA
ITSA4;ITSA4.SA
ITUB4;ITUB4.SA
JBSS3;JBSS3.SA
JHSF3;JHSF3.SA
KLBN11;KLBN11.SA
RENT3;RENT3.SA
LCAM3;LCAM3.SA
LWSA3;LWSA3.SA
LREN3;LREN3.SA
MGLU3;MGLU3.SA
MRFG3;MRFG3.SA
CASH3;CASH3.SA
BEEF3;BEEF3.SA
MRVE3;MRVE3.SA
MULT3;MULT3.SA
PCAR3;PCAR3.SA
PETR3;PETR3.SA
PETR4;PETR4.SA
PRIO3;PRIO3.SA
PETZ3;PETZ3.SA
POSI3;POSI3.SA
QUAL3;QUAL3.SA
RADL3;RADL3.SA
RDOR3;RDOR3.SA
RAIL3;RAIL3.SA
SBSP3;SBSP3.SA
SANB11;SANB11.SA
CSNA3;CSNA3.SA
SLCE3;SLCE3.SA
SULA11;SULA11.SA
SUZB3;SUZB3.SA
TAEE11;TAEE11.SA
VIVT3;VIVT3.SA
TIMS3;TIMS3.SA
TOTS3;TOTS3.SA
UGPA3;UGPA3.SA
USIM5;USIM5.SA
VALE3;VALE3.SA
VIIA3;VIIA3.SA
VBBR3;VBBR3.SA
WEGE3;WEGE3.SA
YDUQ3;YDUQ3.SA
